;Deutschland;England;Frankreich;Spanien;Italien;Niederlande;Schweden;Portugal
#DETAILHINT;Mit einem Klick auf das Ausstattungsdetail in der Fahrzeugansicht, können für einige der Ausstattungen Detailbilder aufgerufen werden;When in the vehicle view, click on the accessory once and a detailled view will appear for some accessories. ;En cliquant dans le véhicule sur le détail des équipements, il est possible d'obtenir l'image détaillée de certains équipements ;Haciendo clic en el detalle de equipamiento en la vista del vehículo se puede acceder a imágenes detalladas de algunos de los equipamientos;Cliccando su dettagli equipaggiamento nella veduta della vettura, è possibile richiamare per alcuni degli equipaggiamenti le immagini dettagliate.;Door op het uitrustingsdetail in de voertuigaanzicht te klikken kunnen voor sommige uitrustingen gedetailleerde beelden worden opgeroepen;Genom att klicka på utrustningen i fordonsfiguren, kan du hämta detaljbilder för vissa utrustningar.;Com um clique no pormenor do equipamento apresentado no ecrã do veículo, é possível aceder a imagens dos pormenores de alguns dos equipamentos
#DEMAND_OFF;Soll diese Ausstattung entfernt werden?;Delete this item?;Faut-il également cet équipement ?;¿Desea que se elimine este equipamiento?;Eliminare questo equipaggiamento?;Moet deze uitrusting worden verwijderd?;Vill du ta bort denna utrustning?;Remover este equipamento?
#KONFLIKT_OFF_1;Damit Ihre Konfiguration realisierbar bleibt, kann die Ausstattung '#ITEM' nur entfernt werden, wenn zuvor folgende Ausstattung entfernt wird:;To achieve your configuration, you must delete the following items before deleting the item '#ITEM':;Pour que votre configuration reste réalisable, l'équipement '#ITEM' ne peut être enlevé qu'après la dépose de l'équipement suivant :;Para que su configuración permanezca realizable, el equipamiento de «#ITEM» sólo podrá eliminarse si se elimina antes el siguiente equipamiento:;Affinché la tua configurazione rimanga realizzabile, l'equipaggiamento '#ITEM' può essere eliminato solo, se prima viene eliminato il seguente equipaggiamento:;Om uw configuratie realiseerbaar te houden, kan de uitrusting '#ITEM' alleen worden verwijderd, als eerst volgende uitrusting wordt verwijderd:;För att konfigurationen ska kunna förverkligas, kan utrustning '#ITEM' endast tas bort om följande utrustning tas bort först:;Para que a configuração permaneça realizável, o equipamento '#ITEM' só pode ser removido, se for previamente removido o seguinte equipamento:
#KONFLIKT_ON_1;Damit Ihre Konfiguration realisierbar bleibt, erfordert die Ausstattung '#ITEM' zusätzlich das Hinzufügen der folgenden Ausstattung:;To achieve your configuration, you must add the following items in addition to '#ITEM':;Pour que votre configuration reste réalisable, l'équipement '#ITEM' exige de plus la présence de l'équipement suivant :;Para que su configuración permanezca realizable, el equipamiento de «#ITEM» necesita adicionalmente que se agregue el siguiente equipamiento:;Affinché la tua configurazione rimanga realizzabile, l'equipaggiamento '#ITEM' richiede inoltre l'aggiunta del seguente euipaggiamento:;Om uw configuratie realiseerbaar te houden, moet aan de uitrusting '#ITEM' bovendien de volgende uitrusting worden toegevoegd:;För att konfigurationen ska kunna förverkligas, måste utrustning '#ITEM' kompletteras med följande utrustning:;Para que a configuração permaneça realizável, o equipamento '#ITEM' exige que seja acrescentado o seguinte equipamento:
;Soll diese Ausstattung hinzugefügt werden?;Add this item?;Faut-il ajouter cet équipement ?;¿Desea que se agregue este equipamiento?;Aggiungere questo allestimento?;Moet deze uitrusting worden toegevoegd?;Vill du lägga till denna utrustning?;Acrescentar este equipamento?
;Soll diese Ausstattung ebenfalls entfernt werden?;Delete this item as well?;Faut-il également enlever cet équipement ?;¿Desea que se elimine también este equipamiento?;Eliminare anche questo equipaggiamento?;Moet deze uitrusting eveneens worden verwijderd?;Vill du ta bort denna utrustning också?;Remover também este equipamento?
#NICHTINVERBINDUNGMIT;Nicht in Verbindung mit;Not available with;Non disponible avec;No disponible con;Non in abbinamento con;Niet in combinatie met;Inte i samband med;Não tem ligação com
;Optionen;Options;Options;Opciones;Opzioni;Opties;Optioner;Opções
;Information;Information;Information;Información;Informazioni;Information;Information;Informação
;Layout drucken;Print layout;Imprimer la mise en page;Imprimir la configuración;Stampa il layout;Layout afdrukken;Skriv ut layout;Imprimir o layout
;Layout speichern;Save layout;Enregistrer la mise en page;Almacenar la configuración;Salvare il layout;Layout opslaan;Spara layout;Guardar o layout
;Layout speichern?;Save layout?;Enregistrer la mise en page ?;¿Almacenar la configuración?;Salvare il layout?;Layout opslaan?;Spara layout?;Guardar o layout?
;Konfiguration laden;Load configuration;Charger la configuration;Cargar configuración;Caricare configurazione;Configuratie laden;Ladda konfiguration;Carregar a configuração
;Konfiguration speichern;Save configuration;Enregistrer la configuration;Guardar configuración;Salvare configurazione;Configuratie opslaan;Spara konfiguration;Guardar a configuração
;Konfiguration speichern?;Save configuration;Enregistrer la configuration;Guardar configuración;Salvare configurazione;Configuratie opslaan;Spara konfiguration;Guardar a configuração?
#Speichern;Konfiguration speichern;Save configuration;Enregistrer la configuration;Guardar configuración;Salvare configurazione;Configuratie opslaan;Spara konfiguration;Guardar a configuração
;Bild speichern;Save image;Enregistrer l'image;Almacenar la imagen;Salvare l'immagine;Beeld opslaan;Spara bild;Guardar a imagem
DRUCKFUNKTION;Druckfunktion;Druckfunktion;Druckfunktion;Función de impresión;Druckfunktion;Druckfunktion;Druckfunktion;Função de impressão
#Printout-Headline;Dieses Fahrzeug wurde konfiguriert für;This car was configured for;Cette voiture est configurée pour;Este coche fue configurado para;Questa vettura era configurata per;Dit voertuig is geconfigureerd voor;Denna bil är konfigurerad för;Este veículo foi configurado para
#PrintSlogan;Freude am Fahren;Sheer;Le plaisir de conduire;¿Te gusta conducir?;L´esperienza di guida;Maakt rijden geweldig;När du älskar att köra;Pelo prazer de conduzir
#PrintSlogan2;;Driving Pleasure;;;;;;
#Disclaimer;Bei den hier abgebildeten Modellen handelt es sich um die deutsche Version. Die Modelle enthalten zum Teil auch Sonderausstattungen, die nicht zum serienmäßigen Lieferumfang gehören. Abweichungen von den hier beschriebenen Farben, Modellen und Ausstattungen sind möglich. Änderungen und Irrtümer vorbehalten.;The models illustrated here show the specifications for the German market. In part, they include optional equipment and accessories not fitted as standard. Alterations in models, standard and optional equipment may occur. For precise information, please contact your BMW partner. Subject to change in design, colours and equipment. Subject to error.;Sur les modèles représentées ici, il s'agit de la version allemande. Ces modèles possèdent aussi en partie des équipemetns spéciaux qui ne sont pas livrés de série. Il peut exister des différences avec les coloris, modèles ou équipements présentés ici, Sous réserve de modifications ou d'omissions.;Los modelos ilustrados muestran las especificaciones para el mercado Alemán, incluyen equipamiento opcional y accesorios no fijados como estándar. Puede haber alteraciones en colores, modelos y equipamiento estándar y opcional. Para una información más precisa, por favor, contactar con BMW Ibérica.;I modelli illustrati qui mostrano le specifiche per il mercato Tedesco. In parte includono equipaggiamenti e accessori non montati di serie. Possono verificarsi delle differenze di optional e dotazione di serie. Per informazioni più precise, prego contattare la BMW. Soggetto a cambiamenti in design ed equipaggiamento. Soggetto a errori.;De getoonde modellen zijn geldig voor de Duitse markt. De afgebeelde uitvoeringen kunnen daarom accessoires bevatten die niet tot de Nederlandse standaarduitrusting behoren. Afwijkingen in kleuren, modellen en accessoires zijn mogelijk. Wijzigingen in constructie en uitrusting voorbehouden.;Den här avbildade modellen är den tyska versionen. Modellen har också delvis extrautrustning som inte ingår som standard vid leveransen. Det kan finnas avvikelser mellan färger, modeller och utrustning som beskrivs här. Med förbehåll för ändringar och felaktigheter;Os modelos aqui apresentados correspondem à versão alemã. Os modelos também incluem, em parte, equipamentos especiais que não fazem parte do âmbito do fornecimento de série. É possível que existam desvios relativamente às cores, aos modelos e aos equipamentos aqui descritos. Salvaguardam-se todos os erros e alterações técnicas.
#Händler;Händler;Dealer;Concessionnaire;Concesionario;Concessionario;Dealer;Återförsäljare;Concessionário
#Händleradresse;Händler;Dealer;Concessionnaire;Concesionario;Concessionario;Dealer;Återförsäljare;Concessionário
#Name;Name;Name;Nom;Nombre;Nome;Naam;Namn;Nome
#Straße;Strasse;Street;Rue;Dirección;Via;Straat;Gata;Rua
#Ort;Ort;Address;Adresse;Localidad;Indirizzo;Woonplaats;Ort;Localidade
#Internet;Internet;Internet;Internet;Internet;Internet;Internet;Internet;Internet
#Kundenname;Kunde;Client;Client;Cliente;Cliente;Klant;Kund;Cliente
#Dieses Fahrzeug wurde konfiguriert für;Dieses Fahrzeug wurde konfiguriert für ;This car was configured for;Cette voiture est configurée pour;Este coche fue configurado para;Questa vettura era configurata per;Dit voertuig is geconfigureerd voor;Denna bil är konfigurerad för;Este veículo foi configurado para
#Layout;Papierformat;Layout;Layout;Formato de papel;Layout;Layout;Pappersformat;Formato do papel
#Info;Zubehör in Textform mitdrucken;Print list of selected accessories;Imprimer accessoires du véhicule;Imprimir accesorios de vehículo;Stampa accessori della vettura;Afdrukken accessoires;Skriv ut text om tillbehör;Imprimir também os acessórios sob forma de texto
#PrinterSettings;Druckereinstellungen;Printer settings;Configuration imprimante;Opciones de impresión;Opzioni di stampa;Printer-instellingen;Skrivarinställnigar;Definições da impressora
#Druckereinstellung;Druckereinstellungen;Printer settings;Configuration imprimante;Opciones de impresión;Opzioni di stampa;Printer-instellingen;Skrivarinställnigar;Definições da impressora
#Drucken;Drucken;Print;Imprimer;Imprimir;Stampa;Afdrukken;Skriv ut;Imprimir
#Abbruch;Abbruch;Abort;Quitter;Salir;Esci;Beëindigen;Avbryt;Interromper
#MitFahrzeugdaten;Gewählte Ausstattung mit ausdrucken;Print car specifications;Imprimer spécifications du véhicule;Imprimir datos de vehículo;Stampa specifiche della vettura;Afdrukken voertuigspecificaties;Skriv ut vald utrustning;Imprimir também o equipamento seleccionado
#MitDisclaimer;Legal Disclaimer mit ausdrucken;Print legal disclaimer;Imprimer disclaimer;Imprimir avisos legales;Stampa dati;Afdruk-disclaimer;Skriv ut Legal Disclaimer;Imprimir também Renúncia de Responsabilidade
#MODELS;Modelle;Models;Modèles;Modelos;Modelli;Modellen;Modell;Modelos
#LACKE;Lacke;Paint;Peintures;Color;Vernici;Kleuren;Färg;Tintas
#FELGEN;Felgen;Wheels;Jantes;Llantas;Cerchi;Wielen;Fälgar;Jantes
#EXTERIEUR;Exterieur;Exterior;Exterieur;Exterior;Esterno;Exterieur;Exteriört;Exterior
#INTERIEUR;Interieur;Interior;Intérieur;Interior;Interno;Interieur;Interiört;Interior
#POLSTER;Polster;Upholstery;Coussins;Tapicería;Imbottiture;Kussens;Stoppning;Estofo
#KOMMUNIKATION;Kommunikation;Communication;Communication;Comunicación;Comunicazione;Communicatie;Kommunikation;Comunicação
#TRANSPORT;Transport;Transportation;Transport;Transporte;Trasporto;Transport;Transport;Transporte
#SICHERHEIT;Sicherheit;Safety;Sécurité;Seguridad;Sicurezza;Veiligheid;Säkerhet;Segurança
#ZUBEHEOR;Zubehör;Accessories;Accessoires;Accesorios;Accessori;Accessoires;Tillbehör;Acessórios
#ZUBEHÖR;Zubehör;Accessories;Accessoires;Accesorios;Accessori;Accessoires;Tillbehör;Acessórios
;Felgen:;Wheels:;Les jantes :;Llantas:;Cerchi:;Wielen:;Fälgar:;Jantes:
#Felgendimension;Felgen;Wheels;Jantes;Llantas;Cerchi:;Wielen;Fälgar;Jantes
#Reifendimension;Reifen;Tyres;Pneus;Neumáticos;pneumatici;Banden;Däck;Pneus
;Sommer;Summer;Eté;Verano;Estivi;Zomer;Sommar;Verão
;Mischbereifung;Mixed tyres ;Pneus mixtes;Neumáticos mixtos;pneumatici misti;Bandenmix;blandade däck;Pneus mistos
#mischbereifung;Mischbereifung;Mixed tyres ;Pneus mixtes;Neumáticos mixtos;pneumatici misti;Bandenmix;blandade däck;Pneus mistos
;VA;Front;Avant;Eje delantero;anteriori;vóór;fram;Eixo da frente
;HA;Rear;Arrière;Eje posterior;posteriori;achter;bak;Eixo traseiro
;3D Ansicht;3D View;Vue en 3D;Imagen en 3D;Vista 3D;3D Overzicht;Se 3D;Vista 3D
;Limousine;Sedan;Berline;Berlina;Berlina;Sedan;Sedan;Berlina
#Touring;Touring;Touring;Touring;Touring;Touring;Touring;Touring;Touring
;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé
#Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé
;Cabrio;Convertible;Cabriolet;Cabrio;Cabrio;Cabrio;Cabrio;Cabriolet
;Roadster;Roadster;Roadster;Roadster;Roadster;Roadster;Roadster;Roadster
#Sports Hatch;1er;1 Series;Série 1;Serie 1;Serie 1;1 Serie;1-serien;Série 1
#E46 Compact Facelift;Compact;Compact;Compact;Compact;Compact;Compact;Compact;Compact
#E46 Compact;Compact (MJ 2001-2002);Compact (MY 2001-2002);Compact (AM 2001-2002);Compact (MA 2001-2002);Compact (mod. 2001-2002);Compact (MJ 2001-2002);Compact (årsmod. 2001-2002);Compact (MJ 2001-2002)
#E36 Compact;Compact (MJ 1994-2000);Compact (MY 1994-2000);Compact (AM 1994-2000);Compact (MA 1994-2000);Compact (mod. 1994-2000) ;Compact (MJ 1994-2000);Compact (årsmod. 1994–2000);Compact (MJ 1994-2000)
#E46 limousine alt;Limousine (MJ 1998-2001);Sedan (MY 1998-2001);Berline (AM 1998-2001);Berlina (MA 1998-2001);Berlina (mod. 1998 -2001) ;Sedan (MJ 1998-2001);Sedan (årsmod. 1998–2001);Berlina (MJ 1998-2001)
#E46 limousine;Limousine (MJ 2002-2004);Sedan (MY 2002-2004);Berline (AM 2002-2004);Berlina (MA 2002-2004);Berlina (mod. 2002-2004);Sedan (MJ 2002-2004);Sedan (årsmod. 2002–2004);Berlina (MJ 2002-2004)
#E46 Touring alt;Touring (MJ 1999-2001);Touring (MY 1999-2001);Touring (AM 1999-2001);Touring (MA 1999-2001);Touring (mod. 1999 -2001) ;Touring (MJ 1999-2001);Touring (årsmod. 1999–2001);Touring (MJ 1999-2001)
#E46 Touring;Touring (MJ 2002-2004);Touring (MY 2002-2004);Touring (AM 2002-2004);Touring (MA 2002-2004);Touring (mod. 2002-2004) ;Touring (MJ 2002-2004);Touring (årsmod. 2002-2004);Touring (MJ 2002-2004)
#E63Coupe;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé
#E46 coupe Facelift;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé;Coupé
#E46 coupe;Coupé (MJ 1999-2002);Coupé (MY 1999-2002);Coupé (AM 1999-2002);Coupé (MA 1999-2002);Coupé (mod. 1999-2002);Coupé (MJ 1999-2002);Coupé (årsmod. 1999-2002);Coupé (MJ 1999-2002)
#E46 Cabrio Facelift;Cabrio;Convertible;Cabriolet;Cabrio;Cabrio;Cabrio;Cabrio;Cabriolet
#E46 Cabrio;Cabrio (MJ 1999-2002);Convertible (MY 1999-2002);Cabriolet (AM 1999-2002);Cabrio (MA 1999-2002);Cabrio (mod. 1999-2002);Cabrio (MJ 1999-2002);Cabrio (årsmod. 1999-2002);Cabriolet (MJ 1999-2002)
#E39 limousine;Limousine (MJ 1997-2003);Sedan (MY 1997-2003);Berline (AM 1997-2003);Berlina (MA 1997-2003);Berlina (mod. 1997-2003);Sedan (MJ 1997-2003);Sedan (årsmod. 1997-2003);Berlina (MJ 1997-2003)
#E39 Touring;Touring (MJ 1997-2003);Touring (MY 1997-2003);Touring (AM 1997-2003);Touring (MA 1997-2003);Touring (mod. 1997-2003);Touring (MJ 1997-2003);Touring (årsmod. 1997-2003);Touring (MJ 1997-2003)
#E38 limousine;Limousine (MJ 1993-2001);Sedan (MY 1993-2001);Berline (AM 1993-2001);Berlina (MA 1993-2001);Berlina (mod. 1993 -2001) ;Sedan (MJ 1993-2001);Sedan (årsmod. 1993–2001);Berlina (MJ 1993-2001)
#E65 limousine;Limousine (MJ 2002-2004);Sedan (MY 2002-2004);Berline (AM 2002-2004);Berlina (MA 2002-2004);Berlina (mod. 2002-2004);Sedan (MJ 2002-2004);Sedan (årsmod. 2002–2004);Berlina (MJ 2002-2004)
#limousine;Limousine;Sedan;Berline;Berlina;Berlina;Sedan;Sedan;Berlina
#E61 touring;Touring;Touring;Touring;Touring;Touring;Touring;Touring;Touring
#E53SAVII;X5;X5;X5;X5;X5;X5;X5;X5
#X5;X5 (MJ 1998-2002);X5 (MY 1998-2002);X5 (AM 1998-2002);X5 (MA 1998-2002);X5 (mod. 1998-2002);X5 (MJ 1998-2002);X5 (årsmod. 1998-2002);X5 (MJ 1998-2002)
#E90Limousine;Limousine;Sedan;Berline;Berlina;Berlina;Sedan;Sedan;Berlina
#E91Touring;Touring;Touring;Touring;Touring;Touring;Touring;Touring;Touring
LackSchwarz;Schwarz;Black;Schwarz;Schwarz;Schwarz;Schwarz;Schwarz;Schwarz
;Alpinweiß;Alpine white;Alpinweiß;Alpinweiß;Alpinweiß;Alpinweiß;Alpinweiß;Alpinweiß
;Dunkelblau;Dark blue;Dunkelblau;Dunkelblau;Dunkelblau;Dunkelblau;Dunkelblau;Dunkelblau
;Hellrot;Bright red;Hellrot;Hellrot;Hellrot;Hellrot;Hellrot;Hellrot
;Imolarot;Imola red;Imolarot;Imolarot;Imolarot;Imolarot;Imolarot;Imolarot
;Japanrot;Electric red;Japanrot;Japanrot;Japanrot;Japanrot;Japanrot;Japanrot
;Dakargelb;Dakar yellow;Dakargelb;Dakargelb;Dakargelb;Dakargelb;Dakargelb;Dakargelb
;Meergrün;Sea green;Meergrün;Meergrün;Meergrün;Meergrün;Meergrün;Meergrün
;Bronzit;Bronzit;Bronzit;Bronzit;Bronzit;Bronzit;Bronzit;Bronzit
;Sienarot;Siena red;Sienarot;Sienarot;Sienarot;Sienarot;Sienarot;Sienarot
;Sienarot II;Siena red II;Sienarot II;Sienarot II;Sienarot II;Sienarot II;Sienarot II;Sienarot II
;Farngrün;Fern green;Farngrün;Farngrün;Farngrün;Farngrün;Farngrün;Farngrün
;Türkis;Turquoise;Türkis;Türkis;Türkis;Türkis;Türkis;Türkis
;Titansilber;Titanium silver;Titansilber;Titansilber;Titansilber;Titansilber;Titansilber;Titansilber
;Avusblau;Avus blue;Avusblau;Avusblau;Avusblau;Avusblau;Avusblau;Avusblau
;Montrealblau;Montreal blue;Montrealblau;Montrealblau;Montrealblau;Montrealblau;Montrealblau;Montrealblau
;Cosmosschwarz;Cosmos black;Cosmosschwarz;Cosmosschwarz;Cosmosschwarz;Cosmosschwarz;Cosmosschwarz;Cosmosschwarz
;Stahlblau;Steel blue;Stahlblau;Stahlblau;Stahlblau;Stahlblau;Stahlblau;Stahlblau
;Lightgelb;Light yellow;Lightgelb;Lightgelb;Lightgelb;Lightgelb;Lightgelb;Lightgelb
;Topasblau;Topaz blue;Topasblau;Topasblau;Topasblau;Topasblau;Topasblau;Topasblau
;Saharabeige;Sahara beige;Saharabeige;Saharabeige;Saharabeige;Saharabeige;Saharabeige;Saharabeige
;Stahlgrau;Steel grey;Stahlgrau;Stahlgrau;Stahlgrau;Stahlgrau;Stahlgrau;Stahlgrau
;Orientblau;Orient blue;Orientblau;Orientblau;Orientblau;Orientblau;Orientblau;Orientblau
LackAnthrazit;Anthrazit;Anthracite;Anthrazit;Anthrazit;Anthrazit;Anthrazit;Anthrazit;Anthrazit
;Oxfordgrün;Oxford green;Oxfordgrün;Oxfordgrün;Oxfordgrün;Oxfordgrün;Oxfordgrün;Oxfordgrün
;Oxfordgrün II;Oxford green II;Oxfordgrün II;Oxfordgrün II;Oxfordgrün II;Oxfordgrün II;Oxfordgrün II;Oxfordgrün II
;Royalrot;Royal red;Royalrot;Royalrot;Royalrot;Royalrot;Royalrot;Royalrot
;Biarritzblau;Biarritz blue;Biarritzblau;Biarritzblau;Biarritzblau;Biarritzblau;Biarritzblau;Biarritzblau
;Aspensilber;Aspen silver;Aspensilber;Aspensilber;Aspensilber;Aspensilber;Aspensilber;Aspensilber
;Glaciergrün;Glacier green;Glaciergrün;Glaciergrün;Glaciergrün;Glaciergrün;Glaciergrün;Glaciergrün
;Vermontgrün;Vermont green;Vermontgrün;Vermontgrün;Vermontgrün;Vermontgrün;Vermontgrün;Vermontgrün
;Impalabraun;Impala brown;Impalabraun;Impalabraun;Impalabraun;Impalabraun;Impalabraun;Impalabraun
;Moccabraun;Mocca brown;Moccabraun;Moccabraun;Moccabraun;Moccabraun;Moccabraun;Moccabraun
;Stratus;Stratus grey;Stratus;Stratus;Stratus;Stratus;Stratus;Stratus
;Atlantablau;Atlanta blue;Atlantablau;Atlantablau;Atlantablau;Atlantablau;Atlantablau;Atlantablau
;Pistaziengrün;Pistachio green;Pistaziengrün;Pistaziengrün;Pistaziengrün;Pistaziengrün;Pistaziengrün;Pistaziengrün
;Graugrün;Greygreen;Graugrün;Graugrün;Graugrün;Graugrün;Graugrün;Graugrün
;Perlbeige;Pearl beige;Perlbeige;Perlbeige;Perlbeige;Perlbeige;Perlbeige;Perlbeige
;Mahagoni;Mahogany;Mahagoni;Mahagoni;Mahagoni;Mahagoni;Mahagoni;Mahagoni
;Schwarz;Black;Noir;Negro;Nero;Schwarz;Svart;Preto
;Schiefergrün;Slate green;Schiefergrün;Schiefergrün;Schiefergrün;Schiefergrün;Schiefergrün;Schiefergrün
;Saphirschwarz;Black Sapphire;Saphirschwarz;Saphirschwarz;Saphirschwarz;Saphirschwarz;Saphirschwarz;Saphirschwarz
;Stratusgrau;Stratus Grey;Stratusgrau;Stratusgrau;Stratusgrau;Stratusgrau;Stratusgrau;Stratusgrau
;Turmalinviolett;Turmalin Violet;Turmalinviolett;Turmalinviolett;Turmalinviolett;Turmalinviolett;Turmalinviolett;Turmalinviolett
;Bluewater;Blue Water;Bluewater;Bluewater;Bluewater;Bluewater;Bluewater;Bluewater
;Chiarettorot;Chiaretto Red;Chiarettorot;Chiarettorot;Chiarettorot;Chiarettorot;Chiarettorot;Chiarettorot
;Titangrau;Titanium Grey;Titangrau;Titangrau;Titangrau;Titangrau;Titangrau;Titangrau
;Toledoblau;Toledo Blue;Toledoblau;Toledoblau;Toledoblau;Toledoblau;Toledoblau;Toledoblau
;Kalaharibeige;Kalahari Beige;Kalaharibeige;Kalaharibeige;Kalaharibeige;Kalaharibeige;Kalaharibeige;Kalaharibeige
;Satinbeige;Satin Beige;Satinbeige;Satinbeige;Satinbeige;Satinbeige;Satinbeige;Satinbeige
;Ambra;Amber;Ambra;Ambra;Ambra;Ambra;Ambra;Ambra
;Sterlinggrau;Sterling Grey;Sterlinggrau;Sterlinggrau;Sterlinggrau;Sterlinggrau;Sterlinggrau;Sterlinggrau
;Flamencorot;Flamenco Red;Flamencorot;Flamencorot;Flamencorot;Flamencorot;Flamencorot;Flamencorot
;Laguna seca blau;Laguna Seca Blue;Laguna seca blau;Laguna seca blau;Laguna seca blau;Laguna seca blau;Laguna seca blau;Laguna seca blau
;Phoenixgelb;Phoenix Yellow;Phoenixgelb;Phoenixgelb;Phoenixgelb;Phoenixgelb;Phoenixgelb;Phoenixgelb
;Phönixgelb;Phoenix Yellow;Phönixgelb;Phönixgelb;Phönixgelb;Phönixgelb;Phönixgelb;Phönixgelb
;Eisblau;Ice Blue;Eisblau;Eisblau;Eisblau;Eisblau;Eisblau;Eisblau
;Silverstone;Silverstone;Silverstone;Silverstone;Silverstone;Silverstone;Silverstone;Silverstone
;Carbonschwarz;Carbon Black;Carbonschwarz;Carbonschwarz;Carbonschwarz;Carbonschwarz;Carbonschwarz;Carbonschwarz
;Le mans-blau;Le Mans Blue;Le Mans Blau;Le Mans Blau;Le Mans Blau;Le Mans Blau;Le Mans Blau;Le mans-blau
;Le Mans Blau;Le Mans Blue;Le Mans Blau;Le Mans Blau;Le Mans Blau;Le Mans Blau;Le Mans Blau;Le Mans Blau
;Pastellgrün;Pastel green;Pastellgrün;Pastellgrün;Pastellgrün;Pastellgrün;Pastellgrün;Pastellgrün
;Pearlbeige;Pearl beige;Pearlbeige;Pearlbeige;Pearlbeige;Pearlbeige;Pearlbeige;Pearlbeige
;Perlgrau;Pearl grey;Perlgrau;Perlgrau;Perlgrau;Perlgrau;Perlgrau;Perlgrau
;Poeticblue;Poetic blue;Poeticblue;Poeticblue;Poeticblue;Poeticblue;Poeticblue;Poeticblue
;Velvetblau;Velvet Blue;Velvetblau;Velvetblau;Velvetblau;Velvetblau;Velvetblau;Velvetblau
;Estorilblau;Estoril Blue;Estorilblau;Estorilblau;Estorilblau;Estorilblau;Estorilblau;Estorilblau
;Atlantablau;Atlanta Blue;Atlantablau;Atlantablau;Atlantablau;Atlantablau;Atlantablau;Atlantablau
;Kaschmirbeige;Cashmere Beige;Kaschmirbeige;Kaschmirbeige;Kaschmirbeige;Kaschmirbeige;Kaschmirbeige;Kaschmirbeige
;Montrealblau;Montreal Blue;Montrealblau;Montrealblau;Montrealblau;Montrealblau;Montrealblau;Montrealblau
;Ziegelrot;Red;Ziegelrot;Ziegelrot;Ziegelrot;Ziegelrot;Ziegelrot;Ziegelrot
;Evergreen;Evergreen;Evergreen;Evergreen;Evergreen;Evergreen;Evergreen;Evergreen
;Pistazie;Pistachio;Pistache;Pistacho;Pistacchio;Pistazie;Pistage;Pistazie
;Technograu;Technical grey;Gris technique;Gris técnico;Grigo tecnico;Technograu;Technogrå;Technograu
;Schwarzgrau;Black-grey;Noir-gris;Negro-gris;Nero-grigio;Schwarzgrau;Svartgrå;Schwarzgrau
;Silbergrau;Silver grey;Silbergrau;Silbergrau;Silbergrau;Silbergrau;Silbergrau;Silbergrau
;Mysticblau;Mystic Blue;Mysticblau;Mysticblau;Mysticblau;Mysticblau;Mysticblau;Mysticblau
;Kieselgrau;Pebble grey;Gris de caillou;Gris guijarro ;Grigio del ciottolo;Kieselgrau;Pebble grå;Kieselgrau
;Urban Green;Urban Green;Urban Green;Urban Green;Urban green;Urban Green;Urban green;Urban Green
;Merlotrot;Merlot red;Merlotrot;Merlotrot;Merlotrot;Merlotrot;Merlotrot;Merlotrot
;Graublau;Grey-blue;Bleu gris;Gris azulado;Grigioazzurro;Grijsblauw;Gråblå;Azul cinza
;Beige;Beige;Beige;Beige;Beige;Beige;Beige;Bege
;Beige/Basaltgrau;Beige/basalt grey;Beige/gris basalte;Beige/Gris basalto;Beige/grigio basalto;Beige/basaltgrijs;Beige/basaltgrå;Bege/cinzento basalto
;Beige/Dunkelbeige;Beige/dark beige;Beige/beige foncé;Beige/Beige oscuro;Beige/beige scuro;Beige/donkerbeige;Beige/mörkbeige;Bege/bege escuro
